base_name_en,level,description_en,description_ja,description_fr,description_it,description_de,description_es,description_pt,description_pl,description_ru,description_ko,description_zh,description_ar
Capture Master,1,High chance of increased capture rewards. (No effect when joining mid-quest.),捕獲でもらえる報酬の数が高確率で 多くなる。（クエストの途中からは 効果が得られません）,Grande chance d'obtenir plus de récompenses en cas de capture. Sauf participation en cours.,Probabilità elevata di incrementare le ricompense per le catture. (Non ha effetto quando ti unisci a una missione in corso.),Erhöhte Chance auf zusätzliche Fangbelohnungen. (Keine Auswirkung bei späterem Beitritt.),Mejora la probabilidad de recibir objetos extra en recompensa de captura. (No sirve si accedes a una misión a medias).,Chance alta de aumentar prêmios por captura. (Sem efeito quando entra em missões em andamento.),"Zwiększa szansę na lepsze nagrody za łapanie potworów. (Nie zadziała, gdy dołączasz w trakcie zadania).",Выс. шанс получения доп. награды за поимку. (Не работает при позднем подключении к заданию.),포획으로 받는 보수의 수가 높은 확률로 늘어난다.(퀘스트 도중에는 효과를 얻을 수 없음),高機率增加捕獲取得的報酬數量。 （從任務中途開始使用 不會有效果）,فرصة أكبر لزيادة مكافآت الأسر. (لا تحدث تأثيرًا عندما تنضم في منتصف المهمة.)
Guard Up,1,Allows you to guard against ordinarily unblockable attacks.,通常はガードできない攻撃も、 ガードできるようになる。,Permet de parer des attaques normalement imparables.,Consente di difendersi da attacchi normalmente imparabili.,Ermöglicht die Abwehr von normalerweise nicht zu blockenden Angriffen.,Permite protegerse contra ataques que normalmente no se pueden bloquear.,Permite o bloqueio contra ataques normalmente sem possibilidade de bloqueio.,"Pozwala parować ataki, których nie da się zablokować w normalnych warunkach.",Позволяет защищаться от обычных неблокируемых атак.,평소에는 가드 할 수 없는 공격도 가드 할 수 있게 된다.,可以防禦 一般無法防禦的攻擊。,تتيح لك التصدي للهجمات غير القابلة للتصدي عادة.
Guts,1,"Above a certain health threshold, you withstand an attack that would normally cart you (once only).",一定以上の体力が残っている場合 それを超えるダメージを受けても 一度だけ力尽きずに踏みとどまる。,Les coups subis n'entraînent plus d'évanouissement tant que votre vie dépasse un certain seuil.,"Impedisce che i colpi ti atterrino, a condizione che la salute superi una soglia (valido solo una volta).","Verhindert, dass du von einem einzigen Angriff ohnmächtig wirst, solange du eine bestimmte Menge Gesundheit hast.","Si tu salud supera cierto nivel, resistirás un ataque que normalmente te habría hecho desmayarte. (Solo una vez).","Acima de um certo nível de vida, resiste a um ataque que derrubaria você (uma vez).","Powyżej pewnego poziomu zdrowia możesz jednokrotnie wytrzymać atak, który by cię pokonał.","Не дает лишить вас сознания, пока здоровье выше определенного предела (только 1 раз).",체력이 일정량 이상 남아 있을 때 체력을 초과하는 데미지를 받아도 한 번만 힘이 다하지 않고 버틴다.,當體力在一定程度以上時， 即使承受了超過體力的傷害， 也能撐住而不耗盡體力一次。,فوق حد معين للصحة، سيمكن تحمُل هجوم قد يقتلك عادة (مرة واحدة).
Master's Touch,1,Prevents your weapon from losing sharpness during critical hits.,会心発生時、斬れ味を消費しない。,Empêche l'émoussement de l'arme lors des coups critiques.,L'arma non perde acutezza durante i colpi critici.,"Verhindert, dass deine Waffe durch das Erzielen von kritischen Treffern an Schärfe verliert.",Evita que el arma pierda afilado con los ataques críticos.,Evita que a arma perca o fio durante acertos críticos.,Zapobiega utracie ostrości broni przy trafieniach krytycznych.,Не дает оружию терять остроту при критических атаках.,회심 발생 시 예리도가 소모되지 않는다.,發生會心攻擊時，不會消耗銳利度。,تمنع سلاحك من فقدان حدته أثناء الضربات الخطيرة.
Nullify Wind Pressure,1,Negates all wind pressure.,全ての風圧を無効化する。,Annule les effets des bourrasques.,Annulla tutti i tipi di pressione del vento.,Negiert jeden Winddruck.,Anula las ráfagas de viento.,Anula toda pressão de vento.,Kompletnie neutralizuje napór wiatru.,Нейтрализует давление ветра.,모든 풍압을 무효화한다.,使全部的風壓無效。,تلغي ضغط الرياح بالكامل.
Razor Sharp/Spare Shot,1,"Halves sharpness loss. For bows and bowguns, shots have a chance not to expend coatings or ammo.",斬れ味の消耗を半分に抑える。 ／まれにボウガンの弾・弓のビンを 消費せずに発射できる。,L'émoussement est réduit de moitié. Permet parfois de tirer sans utiliser de fioles ou de munitions.,Dimezza la perdita di acutezza. A volte previene il consumo di munizioni o di rivestimento.,Halbiert Schärfeverlust. Ermöglicht gelegentlich Schüsse ohne Munitionsoder Beschichtungsverbrauch.,"Reduce a la mitad la pérdida de afilado. Para arcos/ballestas, a veces disparas sin gastar viales ni munición.",Perda de afiação desce para 1/2. Tiros de arco e fuzilarco podem não gastar munição/revestimento.,Ostrość spada dwa razy wolniej. Łuki i łukodziałka czasami nie zużywają amunicji i powłok.,Оружие тупится на 50% медленнее. Луки и лукорудия могут не потратить снаряд или покрытие.,예리도 소모를 절반으로 억제한다. /가끔 보우건의 탄과 활의 병을 소모하지 않고 발사할 수 있다.,銳利度的消耗降低一半。 ／低機率不消耗弩槍的彈藥 及弓的瓶而發射。,تشطر فقدان الحدة. للأقواس وبنادق القوس قد لا تستهلك طلقاتها الذخيرة أو الأغطية.
Critical Status,1,"Increases abnormal status effect damage (paralysis, poison, sleep, blast) when landing critical hits.",攻撃で会心が発生した際に、 与える状態異常値（麻痺、毒、 睡眠、爆破）が高くなる。,"Augmente les dégâts des effets d'état (paralysie, poison, sommeil, explosion) en cas de coup critique.","Incrementa i danni delle alterazioni di stato (paralisi, veleno, sonno, scoppio) causate da un colpo critico a segno.","Erhöht den Schaden von anomalen Statuseffekten (Lähmung, Gift, Schlaf, Explosion) durch kritische Treffer.","Aumenta el daño de estados alterados (parálisis, sueño, explosión veneno) cuando son resultado de un crítico.","Aumenta o dano de paralisia, veneno, sono e explosão em acertos críticos.","Zwiększa obrażenia od szkodliwych efektów (paraliż, trucizna, sen, wybuch) przy traf. krytycznych.","Увеличивает урон от аномальных статусов (паралич, отравление, сон, взрыв) при крит. попадании.","공격으로 회심이 발생했을 때 주는 상태 이상치(마비, 독, 수면, 폭파)가 높아진다.",提升會心攻擊產生時造成的 狀態異常值（麻痺、毒、睡眠、 爆破）。,تزيد من ضرر التأثير الغريب للوضعية (الشلل، السم، النوم، الانفجار) عند تنفيذ ضربات خطيرة.
Great Luck,1,High chance of increased quest rewards. (No effect when joining mid-quest.),クエストクリアでもらえる報酬の 数が高確率で多くなる。（クエスト の途中からは効果が得られません）,Grande chance d'obtenir plus de récompenses de quête. Sauf participation en cours.,Probabilità elevata di incrementare le ricompense per le missioni. (Non ha effetto quando ti unisci a una missione in corso.),Erhöhte Chance auf zusätzliche Questbelohnungen. (Keine Auswirkung bei späterem Beitritt.),Mejor probabilidad de recibir objetos extra en recompensas de misión. (No sirve si accedes a una misión a medias).,Alta chance de aumentar prêmios de missões. (Sem efeito quando entra em missões em andamento.),"Zwiększa szansę na lepsze nagrody za ukończenie misji. (Nie zadziała, gdy dołączasz w trakcie zadania).",Высокий шанс получения доп. награды за зад-е. (Не работает при позднем подключении к заданию.),퀘스트 클리어로 받는 보수의 수가 높은 확률로 늘어난다.(퀘스트 도중에는 효과를 얻을 수 없음),高機率增加任務完成獲得的報酬數量。 （從任務中途開始使用 不會有效果）,فرصة عالية لزيادة مكافآت المهام. (لا تحدث تأثيرًا عندما تنضم في منتصف المهمة.)
Carving Master,1,Lets you carve one additional time. (No effect when joining mid-quest.),剥ぎ取り回数が１回増える。 （クエストの途中からは、効果が 得られません）,Permet de dépecer une fois de plus. Sauf participation en cours.,Consente di ricavare materiali una volta in più. (Non ha effetto quando ti unisci a una missione in corso.),"Ermöglicht dir, einen Kadaver einmal zusätzlich zu zerlegen. (Keine Auswirkung, wenn du der Quest später beitrittst.)",Permite cortar el cuerpo de monstruos una vez más de lo normal. (Sin efecto si accedes en mitad de una misión).,Permite talhar mais uma vez. (Sem efeito quando entra em missões em andamento.),"Pozwala wycinać materiały jeden raz więcej. (Nie działa, gdy dołączasz w trakcie zadania).",Дополнительная попытка разделки. (Не работает при позднем подключении к заданию.),갈무리 횟수가 1회 증가한다. (퀘스트 도중에는 효과를 얻을 수 없음),剝取次數增加１次。 （從任務中途開始使用 不會有效果）,يسمح لك بالتقطيع مرة واحدة إضافية. (لا تحدث تأثيرًا عندما تُضم في منتصف المهمة.)
Good Luck,1,Good chance of increased quest rewards. (No effect when joining mid-quest.),クエストクリアでもらえる報酬の 数が多くなりやすい。（クエストの 途中からは効果が得られません）,Bonne chance d'obtenir plus de récompenses de quête. Sauf participation en cours.,Buone probabilità di incrementare le ricompense per le missioni. (Non ha effetto quando ti unisci a una missione in corso.),Eine gute Chance auf zusätzliche Questbelohnungen. (Keine Auswirkung bei späterem Beitritt.),Buena probabilidad de recibir objetos extra en recompensas de misión. (No sirve si accedes a una misión a medias).,Boa chance de aumentar prêmios de missões. (Sem efeito quando entra em missões em andamento.),"Zwiększa szansę na lepsze nagrody za ukończenie misji. (Nie działa, gdy dołączasz w trakcie zadania).",Хороший шанс получения доп. награды за зад-е. (Не работает при позднем подключении к заданию.),퀘스트 클리어로 받는 보수의 수가 늘어날 확률이 높아진다.(퀘스트 도중에는 효과를 얻을 수 없음),完成任務獲得的報酬 數量容易變多。（從任務中途 開始使用不會有效果）,فرصة جيدة لزيادة مكافآت المهام. (لا تحدث تأثيرًا عندما تنضم في منتصف المهمة.)
Bow Charge Plus,1,Increases max bow charge level by one.,弓の溜め段階が１段階増える。,Augmente le niveau maximum de charge de 1.,Aumenta di uno il livello di carica massima dell'arco.,Erhöht die maximale Aufladestufe des Bogens um eins.,Aumenta en 1 el nivel de carga del arco.,Aumenta o nível máximo de carga do arco em um.,Zwiększa maksymalny poziom naładowania łuku o jeden.,Повышает макс. уровень заряда лука на 1.,활의 모으기 단계가 1단계 증가한다.,弓的蓄力階段增加１個階段。,تزيد مستوى قوة انطلاق السهم القصوى بـ1.
Punishing Draw,1,Adds a stun effect to draw attacks and slightly increases attack power.,武器出し攻撃に気絶を誘発する 力が追加・強化され、攻撃力も 少し上がる。,Ajoute un étourdissement aux attaques dégainées. Augmente un peu l'attaque.,Gli attacchi in estrazione diventano stordenti. Aumenta leggermente il potere di attacco.,Erweitert Zug-Angriffe um einen Betäubungseffekt und erhöht die Angriffskraft leicht.,Añade efecto aturdidor a los ataques al desenfundar y aumenta un poco el ataque.,Ataques imediatos ganham atordoamento. Aumenta um pouco o poder de ataque.,Dodaje efekt ogłuszenia do ataków z dobyciem. Nieznacznie zwiększa siłę ataku.,Добавляет эффект оглушения ко всем атакам из ножен. Немного увеличивает атаку.,무기 발도 공격에 기절을 유발하는 힘이 추가 및 강화되며 공격력도 약간 오른다.,追加、強化武器拔刀攻擊 所引起的昏厥的能力， 攻擊力也會小幅提升。,تضيف تأثيرًا صاعقًا إلى هجمات السحب وتزيد قوة الهجوم بمقدار ضئيل.
Protective Polish,1,Weapon sharpness does not decrease for a set time after sharpening.,武器を研磨すると一定時間、斬れ味が 下がらない。,L'arme ne s'émousse pas pendant un certain temps après l'affûtage.,L'acutezza dell'arma non diminuisce per un periodo di tempo dopo l'affilatura.,Die Waffenschärfe sinkt für eine bestimmte Zeit nach dem Schärfen nicht.,El afilado del arma no disminuye durante un tiempo tras afilarla.,A arma não perde a afiação por um período após afiá-la.,Ostrość broni nie spada przez określony czas po ostrzeniu.,Оружие некоторое время после заточки не будет терять остроту.,"무기를 연마하면, 일정 시간 동안 예리도가 떨어지지 않는다.",研磨武器後， 一定時間內銳利度不會降低。,لا تقل حدة السلاح لفترة محددة من الزمن بعد شحذه.
BBQ Master,1,Makes it easier to cook well-done steaks.,こんがり肉を焼き上げやすくなる。,Il est plus facile de cuisiner des steaks à point.,Rende più facile la cottura di bistecche ben cotte.,"Erleichtert es, Gebratene Steaks zuzubereiten.",Hace que cocinar filetes al punto sea más fácil.,Facilita cozinhar bifes bem passados.,Ułatwia przyrządzanie dobrze wysmażonych steków.,Упрощает готовку хорошо прожаренных стейков.,잘 익은 고기를 알맞게 구울 확률이 높아진다.,更容易烤出全熟肉。,تسهّل من طهي شريحة لحم مطهية جيدًا.
Blast Functionality,1,Lets you use blast coating.,爆破ビンの装着が可能になる。,Permet d'utiliser des fioles explosives.,Consente di applicare il rivestimento scoppio.,Ermöglicht dir die Nutzung von Explosionsbeschichtungen.,Permite aplicar viales de nitro.,Permite o uso de revestimento explosivo.,Pozwala używać powłoki wybuchowej.,Позволяет использовать взрывное покрытие.,폭파병을 장착할 수 있게 된다.,變成可裝備爆破瓶。,تسمح لك باستخدام غطاء الانفجار.
Elderseal Boost,1,Boosts Elderseal one level.,龍封力を一段階強化する。,Niveau Sceau des anciens +1,Livello sigillo anziano: +1,Verbessert das Ältestensiegel um eine Stufe.,Mejora el sello de ancianos en un nivel.,Aumenta o Selo Ancião em um nível.,Podnosi poziom smoczej pieczęci o jeden.,+1 уровень печати Древнего.,용봉력을 한 단계 강화한다.,強化龍封力一個階段。,يزيد قوة التنين مستوىً واحدًا.
Para Functionality,1,Lets you use paralysis coating.,麻痺ビンの装着が可能になる。,Permet d'utiliser des fioles de paralysie.,Consente di applicare il rivestimento paralisi.,Ermöglicht dir die Nutzung von Lähmungsbeschichtungen.,Permite aplicar viales paralizantes.,Permite o uso de revestimento paralisante.,Pozwala używać powłoki paraliżującej.,Позволяет использовать парализующее покрытие.,마비병을 장착할 수 있게 된다.,變成可裝備麻痺瓶。,تسمح لك باستخدام غطاء الشلل.
Poison Functionality,1,Lets you use poison coating.,毒ビンの装着が可能になる。,Permet d'utiliser des fioles de poison.,Consente di applicare il rivestimento veleno.,Ermöglicht dir die Nutzung von Giftbeschichtungen.,Permite aplicar viales de veneno.,Permite o uso de revestimento venenoso.,Pozwala używać powłoki trującej.,Позволяет использовать ядовитое покрытие.,독병을 장착할 수 있게 된다.,變成可裝備毒瓶。,تسمح لك باستخدام غطاء السم.
Sleep Functionality,1,Lets you use sleep coating.,睡眠ビンの装着が可能になる。,Permet d'utiliser des fioles de sommeil.,Consente di applicare il rivestimento sonno.,Ermöglicht die Nutzung von Schlafbeschichtungen.,Permite aplicar viales de sueño.,Permite o uso de revestimento sonífero.,Pozwala używać powłoki usypiającej.,Позволяет использовать усыпляющее покрытие.,수면병을 장착할 수 있게 된다.,變成可裝備睡眠瓶。,تسمح لك باستخدام غطاء النوم.
Elemental Airborne,1,Elemental damage increased for jumping attacks.,ジャンプ攻撃の属性ダメージＵＰ,Les dégâts élémentaires sont augmentés durant les attaques sautées.,Incrementa i danni elementali inflitti dagli attacchi in salto.,Erhöht den Element-Schaden durch gesprungene Angriffe.,Aumenta el daño elemental provocado por ataques en salto.,Aumenta o dano elemental dos ataques com salto.,Zwiększa obrażenia od żywiołów zadawane przez ataki z wyskoku.,Увеличивает урон от стихий для атак в прыжке.,점프 공격의 속성 대미지 UP,跳躍攻擊的屬性傷害UP,زيادة الضرر العنصري مع الهجمات أثناء القفز.
True Razor Sharp/Spare Shot,1,Greatly reduces sharpness loss. Bows and bowguns have a chance not to expend coatings or ammo.,斬れ味の消耗をかなり抑える。 ／ボウガンの弾・弓のビンを 消費せずに発射する確率が上がる。,Émoussement nettement réduit. Permet parfois de tirer sans utiliser de fioles ou munitions.,Riduce nettamente la perdita di acutezza. Può prevenire il consumo di munizioni o rivestimento.,Reduziert Schärfeverlust stark. Chance auf Schüsse ohne Munitionsoder Beschichtungsverbrauch.,"Reduce mucho la pérdida de afilado. Para arcos/ballestas, a veces disparas sin gastar viales ni munición.",Reduz bastante perda de afiação. Tiros de arco e fuzilarco podem não gastar munição/revestimento.,Ostrość spada znacznie wolniej. Łuki i łukodziałka czasami nie zużywają amunicji i powłok.,Оружие тупится намного медленнее. Луки и лукорудия могут не потратить покрытие или снаряды.,예리도 소모를 매우 억제한다. /보우건의 탄과 활의 병을 소모하지 않고 발사할 확률이 높아진다.,銳利度的消耗大幅降低。 提升不需消耗弩槍彈藥 及弓的瓶即可發射的機率。,تقلل فقدان الحدّة بشكل كبير. قد لا تُستهلك الذخيرة أو الأغطية في الأقواس وبنادق القوس.
Offensive Guard,1,"While active, increases attack power by 5%.",スキル発動中、攻撃力１．０５倍,Attaque +5 %,ATT Fisico: +5%,"Erhöht die Angriffsstärke um 5%, wenn aktiviert.","Mientras está activo, aumenta el poder de ataque un 5%.","Ativado, aumenta o poder de ataque em 5%.",Po aktywacji zwiększa siłę ataku o 5%.,При активации усиливает атаку на 5%.,"스킬 발동 중, 공격력 1.05배",技能發動時，攻擊力１．０５倍,أثناء التفعيل، تزيد قوة الهجوم بنسبة 5%.
Offensive Guard,2,"While active, increases attack power by 10%.",スキル発動中、攻撃力１．１倍,Attaque +10 %,ATT Fisico: +10%,"Erhöht die Angriffsstärke um 10%, wenn aktiviert.","Mientras está activo, aumenta el poder de ataque un 10%.","Ativado, aumenta o poder de ataque em 10%.",Po aktywacji zwiększa siłę ataku o 10%.,При активации усиливает атаку на 10%.,"스킬 발동 중, 공격력 1.1배",技能發動時，攻擊力１．１倍,أثناء التفعيل، تزيد قوة الهجوم بنسبة 10%.
Offensive Guard,3,"While active, increases attack power by 15%.",スキル発動中、攻撃力１．１５倍,Attaque +15 %,ATT Fisico: +15%,"Erhöht die Angriffsstärke um 15%, wenn aktiviert.","Mientras está activo, aumenta el poder de ataque un 15%.","Ativado, aumenta o poder de ataque em 15%.",Po aktywacji zwiększa siłę ataku o 15%.,При активации усиливает атаку на 15%.,"스킬 발동 중, 공격력 1.15배",技能發動時，攻擊力１．１５倍,أثناء التفعيل، تزيد قوة الهجوم بنسبة 15%.
Coalescence,1,"While active, grants attack +12, element attack power +30, and status buildup +5%.",スキル発動中、基礎攻撃力＋１２ 属性値に＋３０ 状態異常の蓄積値を１．０５倍,Attaque +12 Attaque élémentaire +30 Afflictions +5 %,ATT Fisico: +12 Attacco elementale: +30 Stato alterato: +5%,"Status-Ansammlung +5%, Elementangriffskraft +30 Punkte, Angriff +12 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +12, los ataques elementales +30 y el efecto de estado un 5%.","Ativado, concede ataque +12, poder de ataque elemental +30 e acúmulo de status +5%.","Po aktywacji przyznaje atak +12, siłę ataku żywiołów +30, akumulację efektu +5%.","+12 силы атаки, +30 силы стихийной атаки и +5% накопления статуса при активации.","스킬 발동 중, 기초 공격력+12 속성치에 +30 상태 이상 축적치를 1.05배",技能發動時，基礎攻擊力＋１２ 屬性值＋３０ 狀態異常的累積值變為１．０５倍,أثناء التفعيل، تمنح الهجوم +12 وقوة الهجوم العنصري +30 وازدياد الوضعية +5%.
Coalescence,2,"While active, grants attack +15, element attack power +60, and status buildup +10%.",スキル発動中、基礎攻撃力＋１５ 属性値に＋６０ 状態異常の蓄積値を１．１倍,Attaque +15 Attaque élémentaire +60 Afflictions +10 %,ATT Fisico: +15 Attacco elementale: +60 Stato alterato: +10%,"Status-Ansammlung +10%, Elementangriffskraft +60 Punkte, Angriff +15 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +15, los ataques elementales +60 y el efecto de estado un 10%.","Ativado, concede ataque +15, poder de ataque elemental +60 e acúmulo de status +10%.","Po aktywacji przyznaje atak +15, siłę ataku żywiołów +60, akumulację efektu +10%.","+15 силы атаки, +60 силы стихийной атаки и +10% накопления статуса при активации.","스킬 발동 중, 기초 공격력+15 속성치에 +60 상태 이상 축적치를 1.1배",技能發動時，基礎攻擊力＋１５ 屬性值＋６０ 狀態異常的累積值變為１．１倍,أثناء التفعيل، تمنح الهجوم +15 وقوة الهجوم العنصري +60 وازدياد الوضعية +10%.
Coalescence,3,"While active, grants attack +18, element attack power +90, and status buildup +15%.",スキル発動中、基礎攻撃力＋１８ 属性値に＋９０ 状態異常の蓄積値を１．１５倍,Attaque +18 Attaque élémentaire +90 Afflictions +15 %,ATT Fisico: +18 Attacco elementale: +90 Stato alterato: +15%,"Status-Ansammlung +15%, Elementangriffskraft +90 Punkte, Angriff +18 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +18, los ataques elementales +90 y el efecto de estado un 15%.","Ativado, concede ataque +18, poder de ataque elemental +90 e acúmulo de status +15%.","Po aktywacji przyznaje atak +18, siłę ataku żywiołów +90, akumulację efektu +15%.","+18 силы атаки, +90 силы стихийной атаки и +15% накопления статуса при активации.","스킬 발동 중, 기초 공격력+18 속성치에 +90 상태 이상 축적치를 1.15배",技能發動時，基礎攻擊力＋１８ 屬性值＋９０ 狀態異常的累積值變為１．１５倍,أثناء التفعيل، تمنح الهجوم +18 وقوة الهجوم العنصري +90 وازدياد الوضعية +15%.
Frostcraft,1,"An aura of frost builds when your weapon is sheathed, raising attack. Wanes each melee hit or shot fired.",納刀中、徐々に冰気が高まり、攻撃力が 強化される。近接攻撃が当たる度／矢・弾を 発射する度、冰気が失われていく。,Arme rengainée : Active une aura de givre qui augmente les dégâts. Diminue à chaque attaque ou tir.,"Se l'arma è nel fodero, accumuli un’aura che incrementa il tuo attacco e si dissolve a ogni colpo.","Bildet eine Frostaura bei weggesteckter Waffe, erhöht so Angriff; mit jedem Schuss / Nahkampftreffer schwächer.","Al envainar crea un aura de hielo que mejora el ataque, pero pierde fuerza con cada golpe o tiro disparado.","Uma aura gélida surge ao guardar sua arma, aumentando o ataque. Dispersa a cada ataque/disparo.","Aura mrozu otacza schowaną broń, wzmacniając atak. Po wyjęciu aura słabnie z każdym ciosem lub strzałem.","Когда оружие в ножнах, создает морозную ауру, повышающую атаку. Слабеет с каждым ударом/выстрелом.","납도 중에 점점 냉기가 서려 공격력이 높아진다. 근접공격을 맞히거나 화살, 탄을 쏠 때마다 냉기가 사라진다.",納刀狀態下，會慢慢累積寒氣， 強化攻擊力。當近身攻擊擊中時或 發射箭‧彈藥時，寒氣會逐漸喪失。,تُولّد هالة من الصقيع عند غمد السلاح، مما يزيد الهجوم. تتضاءل مع كل اشتباك أو رصاصة مُطلقة.
Element Acceleration,1,Continually attacking a monster activates Free Element/Ammo Up Lv2 and increases elemental damage.,継続してモンスターに攻撃を当てると 一定時間、属性解放/装填拡張Lv2が発動。 さらに、属性攻撃力も少し上昇する。,Attaquer sans cesse un monstre active Tireur d'élite II et augmente les dégâts élémentaires.,Sferra attacchi consecutivi per attivare Rivela/Munizioni+ liv. 2 e incrementare i danni elementali.,Kontinuierliche Angriffe aktivieren die Superwaffe-Fähigkeit Stufe 2 und erhöhen den Elementschaden.,Atacar sin parar a un monstruo activa elem. oculto/munición+ nv. 2 y aumenta el daño elemental.,Atacar continuamente um monstro ativa Mais Munição/Elemento Nv 2 e aumenta o dano elemental.,Ciągłe atakowanie potwora aktywuje Wolny Żywioł/Amunicja poz. 2 i zwiększa obrażenia od żywiołów.,Постоянная атака монстра активирует вольную стихию/снаряды ур. 2 и увеличивает стихийный урон.,몬스터에 계속 공격을 맞히면 일정 시간 속성해방/장전 확장 Lv2가 발동 하고 속성 공격력도 조금 상승한다.,若持續攻擊命中魔物，會發動一定 時間的屬性解放/裝填擴充Lv2。 屬性攻擊力也會少量提升。,يفعّل الهجوم المستمر على وحش عنصرًا حرًّا/زيادة الذخيرة للمستوى 2 كما يزيد ضرر العنصر.
True Element Acceleration,1,Continually attacking a monster activates Free Element/Ammo Up Lv3 and increases elemental damage.,継続してモンスターに攻撃を当てると 一定時間、属性解放/装填拡張Lv3が発動。 さらに、属性攻撃力も上昇する。,L'attaque répétée d'un monstre active Tireur d'élite III et accroît les dégâts élémentaires.,Sferra attacchi consecutivi per attivare Rivela/Munizioni+ liv. 3 e incrementare i danni elementali.,Kontinuierliche Angriffe aktivieren Superwaffe-Fähigkeit Stufe 3 und erhöhen Elementschaden.,Atacar sin parar a un monstruo activa elem. oculto/munición+ nv. 3 y aumenta el daño elemental.,Atacar continuamente um monstro ativa Mais Munição/Elemento Nv 3 e aumenta o dano elemental.,Ciągłe atakowanie potwora aktywuje Wolny Żywioł/Amunicja poz. 3 i zwiększa obrażenia od żywiołów.,Постоянная атака монстра активирует вольную стихию/снаряды ур. 3 и увеличивает стихийный урон.,몬스터에 계속 공격을 맞히면 일정 시간 속성해방/장전 확장 Lv3가 발동하고 속성 공격력도 상승한다.,若持續攻擊命中魔物，會發動一定 時間的屬性解放/裝填擴充Lv3。 屬性攻擊力也會提升。,يفعّل الهجوم المستمر على وحش عنصرًا مجانيًا / زيادة الذخيرة للمستوى 3، كما يزيد ضرر العنصر.
Gaia's Veil,1,"While wearing a mantle, gain Windproof Lv3, Earplugs Lv3, Tremor Res Lv3, and Flinch Free.",装衣を装着している間、耐震Lv3、 風圧耐性Lv3、耳栓Lv3、 ひるみ無効の効果を得る。,"Cape équipée : Pare-vent (NV3), Bouchon d'oreilles (NV3), Sismologie (NV3), Nerfs d'acier","Quando indossi un mantello: Paravento liv. 3, Protezione udito liv. 3, Antisismico liv.3 e Antisussulto.","Mantel gewährt Windsicher St. 3, Ohrstöpsel St. 3, Erschütterungswiderstand St. 3 und Unbeeindruckt.","Al llevar un manto ganas anti viento nv. 3, anti temblores nv. 3, anti rugidos nv. 3 y mejora de balance.","Ao usar um manto, ganhe Tampões Nv3, Antivento Nv3, Resistência a Tremor Nv3 e Sem Recuo.","Noszona opończa daje Odp. na Wstrząsy poz. 3, Wiatrochron poz. 3, Zatyczki poz. 3 i Kamienną Twarz.","Покров дает вам антиветер ур.3, наушники ур.3, сопротивление тряске ур.3 и непоколебимость.","의상을 착용하는 동안에는 내진 LV3, 풍압 내성 LV3, 귀마개 LV3, 움찔 무효 효과를 얻는다.",裝備衣裝時，可獲得耐震Lv3、 風壓耐性Lv3、耳塞Lv3、 膽怯無效之效果。,الحصول على صد الرياح مستوى 3 وسدادات أذن مستوى 3 ومقاومة الاهتزاز مستوى 3 والثبات عند ارتداء عباءة.
True Gaia's Veil,1,"While wearing a mantle, gain Tremor Resistance Lv3, Earplugs Lv5, max Windproof, and Flinch Free.",装衣を装着している間、耐震Lv3、 耳栓Lv5、風圧完全無効、ひるみ無効の 効果を得る。,"Cape équipée : Sismologie (NV3), Bouchon d'oreilles (NV5), Pare-vent (MAX), Nerfs d'acier","Quando indossi un mantello: Antisismico liv. 3, Protezione udito liv. 5, Paravento al massimo e Antisussulto.","Mantel gewährt max. Windsicher, Ohrstöpsel St. 5, Erschütterungswiderstand St. 3 und Unbeeindruckt.","Al llevar un manto ganas anti viento máximo, anti temblores nv. 3, anti rugidos niv. 5 y mejora de balance.","Ao usar um manto, ganhe Tampões Nv5, Resistência a Tremor Nv3, Antivento máx. e Sem Recuo.","Kiedy nosisz opończę, daje Odp. na Wstrząsy poz. 3, Zatyczki poz. 5, maks. Wiatrochron i Kamienną Twarz.","Покров дает вам сопротивление тряске ур.3, наушники ур. 5, макс. антиветер и непоколебимость.","의상을 착용하는 동안에는 내진 LV3, 귀마개 LV5, 풍압 완전 무효, 움찔 무효 효과를 얻는다.",裝備衣裝時，可獲得耐震Lv3、 耳塞Lv5、風壓完全無效、 膽怯無效之效果。,الحصول على مقاومة اهتزاز المستوى 3 وسدادات أذن المستوى 5، وأعلى صد للرياح، والثبات عند ارتداء عباءة.
Free Meal Secret,1,Raises the maximum level of the Free Meal skill.,満足感スキルのレベル上限が 解放される。,Augmente le niveau maximum du talent Pique-assiette.,Incrementa il livello massimo dell’abilità Pasto gratuito.,Erhöht die Maximalstufe der Fähigkeit Freie Mahlzeit.,Mejora el nivel máximo de la habilidad comida gratis.,Aumenta o nível máximo da habilidade Refeição Grátis.,Zwiększa maksymalny poziom umiejętności Darmowy Posiłek.,"Повышает максимальный уровень навыка ""Бесплатная еда"".",만족감 스킬 레벨 상한이 잠금 해제된다.,解放滿足感技能的 等級上限。,يرفع من أقصى مستوى لمهارة الوجبة المجانية.
